epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
71,21299.8,1.28021,2.30547,1.28012,1.38014,0.66168,0.40311,0.47271,0.26888,0.69719,0.42748,0.49305,0.26666,1.66417,3.13826,1.81133,1.92036,0.0018614,0.0018614,0.0018614
72,21610.7,1.18338,2.22294,1.25903,1.32682,0.52769,0.42748,0.44422,0.23155,0.57032,0.45038,0.48382,0.22899,1.75447,3.17676,1.95056,2.00028,0.00185942,0.00185942,0.00185942
73,21919.6,1.1966,2.20987,1.26033,1.32799,0.50921,0.49618,0.46803,0.26242,0.63066,0.37803,0.44744,0.24451,1.61505,2.87632,1.94414,1.91294,0.00185744,0.00185744,0.00185744
74,22227.6,1.16643,2.17661,1.21882,1.33338,0.60828,0.45802,0.47459,0.28529,0.64231,0.49618,0.50056,0.28874,1.61728,2.98977,1.77882,1.86798,0.00185546,0.00185546,0.00185546
75,22546.6,1.26798,2.27133,1.27913,1.35195,0.55932,0.46565,0.45961,0.25371,0.50251,0.47328,0.44832,0.23642,1.65774,3.13509,1.8949,1.97542,0.00185348,0.00185348,0.00185348
76,22852.3,1.22111,2.29676,1.26593,1.34378,0.52573,0.49618,0.47598,0.27135,0.59162,0.52672,0.53325,0.26763,1.6361,3.01445,1.73532,1.91861,0.0018515,0.0018515,0.0018515
77,23165.3,1.17938,2.15009,1.19039,1.31425,0.51259,0.51908,0.47229,0.24072,0.55654,0.48859,0.49001,0.26196,1.75194,3.10773,1.94391,1.98775,0.00184952,0.00184952,0.00184952
78,23473.9,1.19751,2.20381,1.21615,1.32918,0.53512,0.48092,0.47236,0.25284,0.60166,0.48427,0.49836,0.26805,1.69876,3.49729,1.86185,1.93928,0.00184754,0.00184754,0.00184754
79,23781.9,1.25623,2.32332,1.24464,1.35323,0.52464,0.47328,0.48048,0.25927,0.57116,0.49618,0.50419,0.268,1.70098,3.13019,1.7751,1.95012,0.00184556,0.00184556,0.00184556
80,24093.1,1.16924,2.15229,1.20928,1.32846,0.66017,0.45802,0.51809,0.28692,0.70134,0.48855,0.54156,0.29704,1.63714,2.83736,1.73975,1.92741,0.00184358,0.00184358,0.00184358
81,24400.3,1.18472,2.19237,1.24409,1.33663,0.58964,0.42748,0.4598,0.27732,0.71246,0.45802,0.53203,0.30451,1.68384,2.8465,1.82359,1.96252,0.0018416,0.0018416,0.0018416
82,24710.6,1.17683,2.17759,1.21321,1.32073,0.52803,0.41985,0.37366,0.20005,0.54197,0.40458,0.36835,0.2,1.77447,3.25956,1.88453,2.0627,0.00183962,0.00183962,0.00183962
83,25020.5,1.16912,2.18548,1.21914,1.32258,0.57992,0.49618,0.49329,0.27184,0.60835,0.48092,0.50419,0.27417,1.6192,2.94378,1.81692,1.92098,0.00183764,0.00183764,0.00183764
84,25330.7,1.17176,2.28476,1.22927,1.31655,0.56342,0.45318,0.4233,0.26082,0.63347,0.50382,0.50047,0.27821,1.60055,2.89474,1.9251,1.90206,0.00183566,0.00183566,0.00183566
85,25640.7,1.1898,2.19775,1.18152,1.30954,0.50279,0.49618,0.4276,0.25494,0.61001,0.52672,0.49133,0.26088,1.51041,2.84638,1.834,1.81154,0.00183368,0.00183368,0.00183368
86,25961.7,1.14496,2.24345,1.14773,1.30737,0.63862,0.40469,0.49978,0.28739,0.64408,0.41985,0.50005,0.28215,1.5674,2.8474,1.76566,1.83003,0.0018317,0.0018317,0.0018317
87,26279.6,1.157,2.12682,1.19204,1.28813,0.47528,0.42748,0.42283,0.22253,0.50133,0.47328,0.47369,0.24501,1.6639,2.95642,2.01655,1.90662,0.00182972,0.00182972,0.00182972
88,26593.2,1.17075,2.1472,1.20548,1.30916,0.63843,0.45802,0.50528,0.29537,0.70924,0.41985,0.51839,0.27249,1.60806,3.01373,1.82769,1.88413,0.00182774,0.00182774,0.00182774
